UCSDTritons,GP,Min,SST,SSTexPTS,Pts,Ast,TO,AstTO,Stl,StlPos,Blk,TtlReb,OREB,DREB,GP.1,FGA,FGM,FGm,FG%,aFG%,FGA2,FGM2,FGm2,FG%2,FGA3,FGM3,FGm3,FG%3,FTA,FTM,FTm,FT%,1,PF Tkn,PF Com,MPG,TOV%,TRB%,eFG%,Usg%,PPG,TS%,ORtg,APG,TtlRPG,ORPG,DRPG
#0 Lunden Taylor,3,9,-0.21,-0.11,0,1,2,0.5,0,0,0,1,0,1,3,1,0,1,0.0,0.0,1,0,1,0.0,0,0,0,-,0,0,0,-,0,0,3,3.0,0.667,0.12605042016806722,0.0,0.026,0.0,0.0,,0.333,0.333,0.0,0.333
#1 Hugh Baxter,8,61,0.92,0.38,18,5,3,1.67,2,1,0,12,3,9,8,17,6,11,0.353,0.382,10,5,5,0.5,7,1,6,0.143,6,5,1,0.833,0,4,13,7.62,0.133,0.14034991045598566,0.382,0.029,2.25,0.458,48.11027542960629,0.625,1.5,0.375,1.125
#2 Tyrell Roberts,9,214,1.33,0.37,147,32,15,2.13,8,9,0,26,3,23,9,121,54,67,0.446,0.562,45,26,19,0.578,76,28,48,0.368,12,11,1,0.917,2,14,13,23.78,0.106,0.249650514411372,0.562,0.052,16.333,0.582,38.39419363841522,3.556,2.889,0.333,2.556
#3 Gabe Hadley,9,89,0.76,0.24,37,6,10,0.6,3,6,1,16,5,11,9,35,14,21,0.4,0.5,10,7,3,0.7,25,7,18,0.28,2,2,0,1,0,4,10,9.89,0.218,0.1949390992351997,0.5,0.04,4.111,0.516,47.546597866482074,0.667,1.778,0.556,1.222
#5 Marek Sullivan,9,140,1.55,0.74,64,22,3,7.33,7,2,3,35,11,24,9,36,28,8,0.778,0.792,30,27,3,0.9,6,1,5,0.167,9,7,2,0.778,1,7,16,15.56,0.07,0.11603841536614647,0.792,0.024,7.111,0.801,81.34569247935575,2.444,3.889,1.222,2.667
#11 Scott Everman,9,143,0.84,0.29,61,13,7,1.86,2,4,2,17,4,13,9,52,24,28,0.462,0.558,18,14,4,0.778,34,10,24,0.294,5,3,2,0.6,1,6,13,15.89,0.114,0.16183816183816183,0.558,0.033,6.778,0.563,22.992598385721305,1.444,1.889,0.444,1.444
#12 Justin Pratt,5,20,1.16,0.2,12,0,0,-,1,0,0,2,0,2,5,6,5,1,0.833,0.917,5,4,1,0.8,1,1,0,1,3,1,2,0.333,1,2,1,4.0,0.0,0.13840336134453782,0.917,0.029,2.4,0.82,-115.98746779680557,0.0,0.4,0.0,0.4
#14 Christian Oshita,9,210,1.82,0.48,166,18,13,1.38,7,5,2,58,14,44,9,102,58,44,0.569,0.711,43,29,14,0.674,59,29,30,0.492,26,21,5,0.808,2,26,26,23.33,0.103,0.22768307322929168,0.711,0.047,18.444,0.732,67.31314908874309,2.0,6.444,1.556,4.889
#15 Jeremy Johnson,3,13,0.52,0.62,2,3,2,1.5,0,2,0,3,3,0,3,6,1,5,0.167,0.167,4,1,3,0.25,2,0,2,0,0,0,0,-,0,0,2,4.33,0.25,0.23270846800258563,0.167,0.048,0.667,0.167,,1.0,1.0,1.0,0.0
#23 Kadeen Rasheed,8,66,0.86,0.42,17,6,3,2,4,2,1,10,2,8,8,13,6,7,0.462,0.538,4,4,0,1.0,9,2,7,0.222,5,3,2,0.6,1,3,9,8.25,0.165,0.10427807486631015,0.538,0.022,2.125,0.559,25.913524078579403,0.75,1.25,0.25,1.0
#24 John Diener,5,25,0.39,0.12,5,0,1,0,0,1,0,5,0,5,5,3,2,1,0.667,0.833,2,1,1,0.5,1,1,0,1,0,0,0,-,0,2,4,5.0,0.25,0.06050420168067226,0.833,0.013,1.0,0.833,,0.0,1.0,0.0,1.0
#25 Martin Tombe,7,38,1.89,0.24,29,2,4,0.5,0,2,0,12,1,11,7,11,8,3,0.727,1.0,2,2,0,1.0,9,6,3,0.667,9,7,2,0.778,0,4,3,5.43,0.211,0.18867757629367535,1.0,0.039,4.143,0.969,-29.518725353128545,0.286,1.714,0.143,1.571
#32 Mickey Howell,9,212,1.31,0.82,61,70,15,4.67,12,6,2,33,3,30,9,42,21,21,0.5,0.607,22,12,10,0.546,20,9,11,0.45,15,10,5,0.667,3,25,23,23.56,0.236,0.1134453781512605,0.607,0.023,6.778,0.628,-2.97226659665189,7.778,3.667,0.333,3.333
#33 Trace Ramsey,5,19,1.5,0.42,8,3,2,1.5,1,0,0,4,0,4,5,6,2,4,0.333,0.333,5,2,3,0.4,1,0,1,0,5,4,1,0.8,0,3,6,3.8,0.196,0.20300751879699244,0.333,0.042,1.6,0.488,-92.48127156210356,0.6,0.8,0.0,0.8
#44 Chris Hansen,8,170,2.25,0.66,153,10,8,1.25,7,5,6,62,20,42,8,97,56,41,0.577,0.675,54,37,17,0.685,43,19,24,0.442,23,22,1,0.956,2,18,15,21.25,0.069,0.2560751359367276,0.675,0.053,19.125,0.714,82.10911810597892,1.25,7.75,2.5,5.25
Team Totals,9,270,1.39,0.5,780,191,90,2.17,54,45,17,296,69,227,9,548,285,263,0.52,0.624,255,171,84,0.671,293,114,179,0.389,120,96,24,0.8,13,118,157,30.0,0.13,0.9675070028011203,0.624,0.2,86.667,0.649,,21.222,32.889,7.667,25.222
